,sentence,joy,anticipation,fear,surprise,anger,sadness,trust,disgust
6071,I walked it every night.,1,0,0,0,0,0,1,0
6072,Jason started an ice cream stand that was open year-round.,1,1,0,0,0,0,1,0
6073,Eliza was mad that Kelly said that.,0,0,0,1,1,1,0,0
6074,Jill wanted to make her daughter's birthday special.,1,1,0,1,0,0,0,0
6075,The pipe in the kitchen would leak every time he washed the dishes.,0,0,0,1,0,0,0,1
6076,They decorated and repainted the room a light green.,1,1,1,0,0,0,1,0
6077,"Charlie, 12, was tired of being bullied by Norman.",0,1,1,0,1,1,0,1
6078,Jared is a graphic designer.,1,0,0,0,0,0,0,0
6079,They fought for hours.,0,0,0,0,1,1,0,1
6080,Then Nita could decide if she liked it or not.,1,1,0,1,0,0,1,0
6081,My son is half Chinese (myself) and half white (my wife).,1,0,0,0,0,0,0,0
6082,She moved just next door to the vacant apartment.,1,1,0,0,0,0,0,0
6083,Sal felt very grateful to his deceptive friends.,1,0,0,0,0,0,0,0
6084,Until we realized that rats live up there.,0,0,1,1,0,0,0,1
6085,Ed and Sam finally got to kill the zombies and win the game!,1,0,0,0,0,0,0,0
6086,It was not the man he knew.,0,0,1,1,1,0,0,1
6087,He would glue pennies to the sidewalk.,1,1,0,1,0,0,0,0
6088,"In the end, Scott didn't get any award.",0,0,1,1,1,1,0,1
6089,However no one showed up.,0,0,0,1,0,1,0,0
6090,Mike was dining alone at a small restaurant in Los Angeles.,0,0,0,0,0,1,0,0
6091,Tina was pulled over.,0,1,1,1,1,1,0,1
6092,Dan was in a hurry driving to work one morning.,0,1,1,0,0,0,0,0
6093,He found it tedious and boring.,0,1,0,0,0,1,0,1
6094,He parents did not think that she was mature enough to move away.,0,0,0,0,0,1,0,0
6095,"Jogging around the park, Chance kept barking at other dogs.",0,1,1,1,1,0,0,0
6096,A man was on a flight back home to his wife.,1,1,0,0,0,0,0,0
6097,Sadie had just gotten off from work.,1,1,0,0,0,0,0,0
6098,The sound made them famous.,1,1,0,1,0,0,1,0
6099,"Bill, while taking a walk, came to a wide street.",0,0,0,0,0,0,0,0
6100,She ate it for lunch everyday for a week.,1,1,0,0,0,0,1,0
6101,I never forgot anyone's name again.,1,1,0,0,0,0,0,0
6102,They all felt good for a job well done.,1,1,0,1,0,0,1,0
6103,They finally went to the dance store.,1,1,0,0,0,0,0,0
6104,Gina knew they had been talking about her.,0,1,1,1,1,1,0,1
6105,"At the end of the party, the kids went home for the day.",1,0,0,0,0,0,0,0
6106,But Warren would fall down or whistle.,0,0,0,1,1,1,0,1
6107,He imagined his own life at 85.,0,1,0,1,0,0,0,0
6108,They went and had dinner and went to a movie.,1,1,0,0,0,0,0,0
6109,They would need it for their vegetables in winter.,1,1,0,0,0,0,1,0
6110,Jessica was forced to chase him and fight for the shoes.,0,0,1,1,1,1,0,0
6111,She finally found a pair of red high heels.,1,0,0,1,0,0,0,0
6112,He diligently clips each toenail until they are neat and trim.,1,0,0,0,0,0,0,0
6113,Jane's mother took her to the drugstore to shop.,1,1,0,0,0,0,1,0
6114,"One night, Bill fought back.",0,0,1,0,1,1,0,1
6115,The customer said it was too hot.,0,0,0,1,1,0,0,0
6116,They played catch.,1,0,0,0,0,0,1,0
6117,He tries to ask her out.,0,1,0,1,0,0,0,0
6118,The coach told him that even he did not know how to throw one.,0,0,0,1,0,1,0,0
6119,"However, we both enjoyed the time we spent with each other.",1,1,0,0,0,0,1,0
6120,Nicki and her dad always went camping every summer.,1,0,0,0,0,0,0,0
6121,Flora was an alcoholic so she lost custody.,0,1,1,1,1,1,0,1
6122,I ended up with a crappy job.,0,0,0,0,1,1,0,1
6123,Peter brought his girlfriend to the park.,1,0,0,0,0,0,1,0
6124,"One day, Mr B gave up.",0,0,0,0,1,1,0,1
6125,They toured several countries in only a few weeks.,1,0,0,0,0,0,0,0
6126,Georgia checked the pizza and saw that something was wrong.,0,0,0,1,0,0,0,0
6127,She goes to rallies about women's rights.,1,0,0,0,0,0,0,0
6128,Gina was just happy she didn't have to feed them again.,1,0,0,0,0,0,0,0
6129,Sally was eating a burger at home.,1,0,0,0,0,0,0,0
6130,They took it to their history teacher to find out.,1,1,0,1,0,0,0,0
6131,After filling in the data it looked quite sharp.,1,1,0,0,0,0,0,0
6132,The judge looked at the defendant before him.,0,1,0,0,0,0,0,0
6133,Tina decided to start walking to work.,0,0,0,0,0,0,0,0
6134,"But, he was feeling lazy.",0,0,0,0,0,1,0,1
6135,Ed got bored after awhile.,0,0,0,0,0,1,0,0
6136,He was terrible at it.,0,0,0,1,0,0,0,0
6137,Dottie looked closer and saw lots of shiny beatles on the leaves.,0,0,0,1,0,0,0,0
6138,"When she got home, her insurance company called her.",0,0,0,0,1,1,0,1
6139,Layla almost saw her father.,0,1,0,1,0,0,0,0
6140,Finally she is able to catch a cab.,0,1,0,0,0,1,0,0
6141,She wanted to honor her grandpa George with the name.,1,1,0,0,0,0,1,0
6142,However Gary had learned the company went in a different direction.,0,0,0,0,0,1,0,0
6143,I smiled at him and continued walking.,1,0,0,0,0,1,0,0
6144,I had a fun time selling off the books.,1,1,0,1,0,0,1,0
6145,"As Barry was going to look at them, he noticed them jumping.",1,1,0,1,0,0,1,0
6146,Zoey was wondering where to go on spring break.,1,1,1,1,0,0,0,0
6147,I packed it in a shoulder bag with a book.,0,1,0,0,0,0,0,0
6148,It was very long and very thick.,1,0,0,0,0,0,0,0
6149,He was also a lover of fashion.,1,1,0,0,0,0,0,0
6150,"Auri lived to the old age of 15, despite the heart condition.",1,0,0,0,0,0,1,0
6151,But she got carried away.,0,0,0,0,0,0,0,1
6152,Laura was gone for a week to see her parents.,1,1,0,0,0,0,1,0
6153,The kitten wanders around trying to find some food.,0,1,0,0,0,0,0,0
6154,I met great friends.,1,1,0,1,0,0,1,0
6155,Marvin was very lonely for the entire time that she was away.,0,1,0,0,0,1,0,0
6156,Nancy overslept and had to rush to her class.,0,0,0,0,1,1,0,0
6157,Elizabeth likes to read novels.,1,0,0,0,0,0,0,0
6158,Lisa died from the bee sting.,0,0,1,1,0,0,0,0
6159,She gained temporary custody of all the kids.,1,1,0,1,0,0,1,0
6160,Emilio always wanted to be part of a gang.,0,1,0,0,0,0,0,0
6161,I finally opened the email and responded.,0,0,1,0,0,0,0,0
6162,The young woman was worried sick about her interview,0,1,1,1,0,0,0,0
6163,Ned agreed to help coach the team.,1,1,0,1,0,0,1,0
6164,The man rested a bit and did another set of 10.,1,0,0,0,0,0,0,0
6165,It was a beautiful day and Julie wanted to enjoy it.,1,1,0,1,0,0,1,0
6166,"While in the crypt, Marissa asked constantly to leave.",0,1,1,0,0,0,0,0
6167,He was going to make scrambled eggs with toast.,1,1,0,0,0,0,1,0
6168,"The squirrel was very big and pretty, and Anna wanted to pet it.",0,1,0,1,0,0,0,0
6169,"An hour later, I decided to see what was taking so long.",0,1,1,0,0,0,1,0
6170,Megan and her kids fed the ducks the bread.,1,1,0,0,0,0,1,0
6171,Jim stopped humming and started singing out loud.,1,1,0,1,0,0,1,0
6172,Frustrated she decided to come home early and surprise them.,0,1,1,1,0,0,0,0
6173,Lisa got close and pulled it off.,1,0,0,1,0,0,1,0
6174,Terrance is playing outside with his son.,1,1,0,0,0,0,1,0
6175,Sally has a big test tomorrow.,0,1,1,0,0,0,0,0
6176,The photographer said it was one of the best portraits he ever did.,1,1,0,1,0,0,1,0
6177,The man bought me the chocolate bar.,1,0,0,1,0,0,1,0
6178,Aubrey went to a concert with her boyfriend.,1,1,0,0,0,0,1,0
6179,She was wrong the pig grew to be 350 pounds!,0,1,1,1,0,0,0,0
6180,He bought a turkey and put it in his backyard.,1,1,0,1,0,0,1,0
6181,He drove to the course and began playing.,1,1,0,0,0,0,0,0
6182,After arriving to work his boss yelled at him.,0,0,0,1,1,0,0,1
6183,He bought trucks off online.,1,1,0,0,0,0,1,0
6184,Natalie wasn't feeling well when she woke up Monday morning.,0,1,1,0,0,1,0,1
6185,"When she arrived home, she found a music box her grandma gave her.",1,1,0,1,0,0,1,0
6186,Margaret and Tony sat down on the couch to watch the Olympic games.,1,1,0,1,0,0,1,0
6187,She knew that everyone who saw them would think less of her.,0,0,1,0,1,1,0,1
6188,I started doing bad things.,0,0,0,0,1,1,0,0
6189,Mark went to a convenience store and on a whim bought a scratch ticket.,1,1,0,0,0,0,0,0
6190,He often makes jokes and does silly stunts.,1,1,0,0,0,0,1,0
6191,He had a passion to change his country for better.,1,1,0,0,0,0,1,0
6192,The toaster had failed to pop her bagel up.,0,0,0,1,1,0,0,0
6193,The water never reached any temperature above luke-warm.,0,1,0,1,1,1,0,1
6194,He stopped and asked for directions to a restaurant.,0,1,1,0,0,0,0,0
6195,My mom Davey is 92 and in good health.,1,0,0,0,0,0,0,0
6196,But they didn't like their hotel.,0,0,1,1,1,1,0,1
6197,She was happy to have helped someone less fortunate than her.,0,0,0,0,0,0,0,0
6198,She had awesome boxing skills.,1,1,0,0,0,0,1,0
6199,Gale mailed the papers just in time.,1,1,0,1,0,0,0,0
6200,Will bought himself a really nice camera.,1,1,0,1,0,0,1,0
6201,I tell my boyfriend to 'feed Moody' and he gets confused.,0,0,0,1,0,0,0,0
6202,He didn't think he'd get a response by e-mailing through facebook.,0,1,0,0,0,1,0,0
6203,Harvey had a mediocre employee whom he didn't really like.,0,0,0,0,1,0,0,1
6204,She assumed it was because of the coal power plant.,0,0,0,0,0,1,0,0
6205,He sat down at the coffee shop and drank them very slowly.,1,0,0,0,0,0,1,0
6206,She decided to make some.,1,1,0,0,0,0,0,0
6207,He wanted to do something nice for her.,1,1,0,0,0,0,1,0
6208,Jeff knocked the bully out cold with one punch.,0,0,1,0,1,1,0,1
6209,Everyone else found out that their fish was raw.,0,0,0,1,0,0,0,1
6210,Millie waited to hear the sound of the ice cream truck driving by.,1,1,0,0,0,0,0,0
6211,She then challenged him to a game to test his skills.,0,1,1,0,0,1,0,0
6212,He needed to use the bathroom immediately.,0,1,0,1,0,0,0,0
6213,They were found in the arcade two blocks away.,1,0,0,0,0,0,0,0
6214,We all approached him curious and astonished.,0,1,0,1,0,0,0,0
6215,Becky called her friends to come help.,1,1,0,0,0,0,0,0
6216,"One day, they were very loudly debating when the CEO walked by.",0,0,0,1,1,0,0,0
6217,One of the kids kept eating glue.,0,0,0,1,1,0,0,1
6218,James needed new clothes to go to the party.,1,1,0,0,0,0,0,0
6219,"Lila loaded up the machine, throwing all her clothes together.",0,1,0,0,1,0,0,1
6220,It started to rain on the first day.,0,0,0,1,0,1,0,0
6221,So Carlos wanted to take his father to a game before he died.,1,1,1,1,0,1,1,0
6222,He bided his time and came up with a plan.,1,1,1,1,0,0,0,0
6223,We ordered the Swedish meatballs.,1,1,0,0,0,0,1,0
6224,Gary built a stronger chicken coop to keep the foxes out.,1,1,0,0,0,0,1,0
6225,"He was so nervous, his hands were shaking.",0,1,1,1,0,0,0,0
6226,"However, she forgot to check the cookies after an hour.",0,0,0,1,0,1,0,0
6227,He retrieved her diaphragm and gave it to her.,1,0,0,0,0,0,0,0
6228,"She bought a swimsuit, but it shrunk in the wash.",0,0,0,1,1,1,0,1
6229,"However, it stained the table pink.",0,0,0,0,1,0,0,0
6230,My pastor brought a bowl of soup to me.,1,0,0,1,0,0,1,0
6231,Thomas came home and caught his roommate stealing the furniture.,0,0,0,1,1,1,0,1
6232,Mark joined Mary on the concession stand line.,1,1,0,0,0,0,0,0
6233,It was many months before he could speak English.,0,1,1,1,1,1,0,1
6234,"Meredith had to explain what an ebook was, and show her how it worked.",1,1,0,0,0,0,1,0
6235,The roaring water greeted him and welcomed him to salmon season.,1,1,0,1,0,0,1,0
6236,Ron gets approval from his girlfriend.,1,1,0,1,0,0,1,0
6237,I brought over two bottles of wine and we started to chat.,0,0,0,0,0,1,0,0
6238,I bought new shoes that smelled better.,1,1,0,1,0,0,1,0
6239,One day Sue cooked him pasta.,0,1,0,0,0,0,1,0
6240,I decided to go to the fruit market.,1,1,0,1,0,0,1,0
6241,He took test drives.,1,1,0,0,0,0,0,0
6242,Sloan found some strawberries in the refrigerator.,1,0,0,0,0,0,0,0
6243,He fell to his knees with shortness of breath and grabbed his chest.,0,0,1,1,0,0,0,0
6244,Maria went to get her camera to take a picture.,1,0,0,0,0,0,0,0
6245,We just coud not get rid of it.,1,0,0,0,0,1,0,0
6246,The dog learned to use it very well.,1,0,0,0,0,0,0,0
6247,He looked for a job online everyday.,0,1,0,0,0,0,0,0
6248,Tom realized he bought the wrong gift all too late.,0,1,0,1,0,1,1,0
6249,It actually won first place.,1,0,0,1,0,0,0,0
6250,Emily was scared to go to the dentist.,0,1,1,0,0,0,0,0
6251,Ed and his friends wanted to make s'mores.,1,1,0,0,0,0,0,0
6252,One of them went out and stated to rototill.,0,1,0,0,0,0,0,0
6253,His ballpoint pen was too thick.,0,0,0,0,1,0,0,0
6254,Angus was an archer in a competition.,1,1,0,0,0,0,0,0
6255,"When Joe was eight Year's old, his family moved to the big city.",1,1,1,1,0,1,0,0
6256,It was a time for socializing as well as supporting the team.,1,1,0,0,0,0,1,0
6257,"Suddenly, she noticed that her earring had come out.",0,1,0,1,1,1,0,0
6258,The shark had huge teeth and was 6 feet long.,0,1,1,1,0,0,0,0
6259,My friends and I made a trip to pick pumpkins.,1,1,0,0,0,0,1,0
6260,Anna's TV was behaving weirdly.,0,1,0,1,0,0,0,0
6261,Then someone threw her flowers and she felt elated.,1,0,0,1,0,0,0,0
6262,Jane was trying to make pancakes.,1,1,0,0,0,0,0,0
6263,Brad asked for advice on how to handle the situation.,0,0,0,0,1,0,0,1
6264,She took them outside to ride on her horse Captain.,1,1,0,0,0,0,1,0
6265,Now Natalie is very grateful that she didn't stay in bed all day.,1,0,0,0,0,0,0,0
6266,She woke up hours later in a hospital without hearing in one ear.,0,0,1,0,0,1,1,0
6267,To her dismay the iPad fell out of her hands.,0,0,0,1,0,1,0,0
6268,The foreman kept telling racist jokes about black people.,0,0,1,1,1,1,0,1
6269,She suddenly felt very ill.,0,1,1,0,0,1,0,1
6270,He felt the bat hit the ball.,0,1,0,0,0,0,0,0
6271,Her health was getting worse by the day.,0,1,1,1,0,1,0,1
6272,Jen and Dave cried and prayed and decided to try again.,0,1,1,0,0,1,1,0
6273,He found a siamese cat that he liked.,1,1,0,0,0,0,1,0
6274,His roommates were disappointed.,0,0,0,1,0,1,0,1
6275,His friends realized too late that the cord wasn't attached right.,0,0,1,1,0,1,0,1
6276,At the party Amy and Beth made up and were friends again.,1,0,0,0,0,0,1,0
6277,One day a man came in.,0,1,0,0,0,1,0,0
6278,Finally she got the cord free.,1,0,0,0,0,0,0,0
6279,"Afterwards, we didn't have to deal with that dog anymore",1,0,0,0,0,0,0,0
6280,She was trying to come up with extra money.,0,0,1,0,0,0,0,0
6281,She had to go get staples in her leg.,0,0,1,0,1,0,0,0
6282,She waited for a letter of reply from the college.,0,1,1,0,0,0,0,0
6283,We had a culture clash when a hippie was hired.,0,0,1,0,1,0,0,1
6284,"The whole day, he had to pick up his pants as they sagged.",0,0,0,0,1,0,0,0
6285,In the end Toby slowed down and couldn't walk as much.,0,0,1,0,0,1,0,0
6286,She is the best cat I have ever seen.,1,1,0,1,0,0,1,0
6287,"However, when he got on it they realized he couldn't reach the pedals.",0,0,0,1,1,1,0,0
6288,Some of the kids had masks on.,1,0,0,0,0,0,0,0
6289,"After he purchased the stapler, he bought staples.",0,1,0,0,0,0,1,0
6290,In Hollywood he got his first job.,1,1,0,0,0,0,0,0
6291,It made him uncomfortable.,0,0,1,1,1,1,0,1
6292,I always assumed he was as grumpy as he looked.,0,0,0,0,0,0,0,1
6293,Only a few people asked questions.,1,1,0,0,0,0,0,0
6294,She lifted the pot and saw a huge burn spot.,0,0,0,1,0,1,0,1
6295,Ashlynn and Lori got into a flame war.,0,0,1,0,1,1,0,1
6296,Deb wanted to go shopping.,1,1,0,1,0,0,0,0
6297,She suggested cutting back on the coffee and taking caffeine pills.,0,0,1,1,0,1,0,0
6298,Then I went home.,1,1,0,0,0,0,1,0
6299,Her parents brought her to her appointment regardless.,0,1,1,0,0,1,0,0
6300,"Pool noodles were a fun, cheap toy.",1,0,0,0,0,0,0,0
6301,He swam around and found treasures at the bottom of the lake.,1,1,0,1,0,0,0,0
6302,One day he asks a girl out on a date and she says yes.,1,0,0,0,0,0,0,0
6303,He let her pick the music.,1,0,0,0,0,0,0,0
6304,But she looked at the price.,0,0,0,1,1,1,0,1
6305,He was in a hurry to get to the next shelter before dark.,0,1,1,0,0,0,0,0
6306,Sue decided to try to write a story.,1,1,0,0,0,0,0,0
6307,The caller on the other end told her she had been selected for a game.,1,1,0,1,0,0,1,0
6308,He shared his lunch with Tom.,1,0,0,0,0,0,1,0
6309,The bus broke down too.,0,0,1,1,1,1,0,1
6310,"Later, she went to the candy store.",1,0,0,0,0,0,0,0
6311,Dan and his daughter went to the supermarket.,1,0,0,0,0,0,0,0
6312,Finally she visited Cheyenne Mountain Zoo.,1,0,0,0,0,0,0,0
6313,But he only wanted to eat pasta.,0,1,0,0,0,0,1,0
6314,Hannah was devastated by his unexplained coldness.,0,1,1,1,0,1,0,1
6315,John's friend visited him.,1,1,0,1,0,0,1,0
6316,Larry had a very big beard.,1,1,0,0,0,0,1,0
6317,He tells her he has to stay late at work.,0,1,1,1,1,1,0,0
6318,"His daughter was born one year, and that changed him completely.",1,1,0,1,0,0,1,0
6319,They spent the week seeing the sites of the city.,1,1,0,0,0,0,1,0
6320,He told Doug that Doug's nose was too small.,0,0,0,0,1,0,0,0
6321,She wrapped her blankets around her but she was still cold.,0,1,0,1,1,1,0,0
6322,Tom strolled through the showroom.,1,1,0,0,0,0,0,0
6323,They said he sang too good for the quartet.,0,1,1,1,1,1,0,1
6324,Now she has all her photos saved on a drive forever.,1,0,0,0,0,0,1,0
6325,He tried to put on a play using the transcription as the script.,1,1,1,1,0,0,0,0
6326,He had a friend DJ the ceremony.,1,1,0,1,0,0,1,0
6327,"He tried to distract himself, but the melody kept repeating itself.",0,0,0,0,1,0,0,0
6328,John had an exciting day playing golf.,1,1,0,0,0,0,1,0
6329,"As she drove to work, she saw a coffee stand.",1,1,0,1,0,0,1,0
6330,Finally the driver threw the kid out of the bus.,0,0,0,0,1,0,0,0
6331,Zeke won the election and was finally the senator of Texas.,1,0,0,0,0,0,0,0
6332,The deer was eating and did not move until Jack sneezed.,0,0,1,1,0,0,0,0
6333,The girls had stopped.,0,0,0,0,1,0,0,1
6334,Stephen was never in the popular crowd.,0,1,0,0,0,1,0,0
6335,The baby and mom were fine.,1,0,0,1,0,0,1,0
6336,Tim left the area beforehand.,1,1,0,1,0,0,1,0
6337,Tom was running for exercise.,1,1,0,0,0,0,0,0
6338,Gina had a little sister who was not yet two years old.,1,1,0,0,0,0,0,0
6339,Rudy was happy to hear that he'd get $10 a week to sweep and vacuum!,1,0,0,0,0,0,0,0
6340,She was so relieved when she did.,1,1,0,1,0,0,1,0
6341,I badly scraped up my body and went home to treat the injuries.,0,0,1,1,0,1,0,0
6342,Will reached his car with a huge sigh of relief.,1,0,0,0,0,0,0,0
6343,Paul had a huge mess to clean up.,0,1,0,0,0,1,0,1
6344,She made Jeff watch the whole thing.,1,0,0,0,0,0,0,0
6345,"Her mother was awake, and her dad was driving.",0,1,0,0,0,0,0,0
6346,Will took classes on how to properly use the camera.,1,1,0,0,0,0,0,0
6347,Frank noticed Randy sitting at a table in the lunchroom alone.,0,1,0,0,0,0,0,0
6348,She was only eight but was very determined.,0,1,0,0,0,0,1,0
6349,Josh won the match handily.,1,0,0,0,0,0,0,0
6350,They decided to visit the Statue of Liberty on Ellis Island.,1,1,0,1,0,0,1,0
6351,Her son woke in in the morning with a fever.,0,0,1,0,0,1,0,0
6352,My classmates and I took a big bus to get there.,1,1,0,0,0,0,0,0
6353,Tay knew he could win the race.,1,1,0,0,0,0,1,0
6354,I went to a buffet to remind myself of life before total ham.,1,0,0,1,0,0,0,0
6355,He always forgot his mom's birthday.,0,0,0,1,1,1,0,1
6356,Larry wasn't amused after seeing that.,0,0,1,1,1,1,1,1
6357,He was worried he was not smart.,0,1,0,0,0,1,0,0
6358,My grandma made a giant batch of oatmeal every morning.,1,1,0,0,0,0,1,0
6359,She had a tooth extracted.,0,0,0,0,0,0,0,0
6360,She will not come out until the storm is over.,0,1,1,0,0,0,0,0
6361,Her mom came and saved her and put a bandaid on her boo boo.,0,0,1,0,0,1,1,0
6362,He cheated on her while she was away in college.,0,0,0,1,1,1,0,1
6363,The husband won a prize in the raffle.,1,1,0,1,0,0,0,0
6364,Ryan and his friends were stranded in a small town.,0,1,0,0,0,0,0,0
6365,Steven wanted to be an improv comic.,1,1,0,0,0,0,1,0
6366,He passed the cards to me and my brothers.,1,1,0,0,0,0,0,0
6367,She was using her tiller on the land.,1,1,0,0,0,0,1,0
6368,He watched cooking shows and practiced recipes.,0,1,0,0,0,0,0,0
6369,Jack was not able to play for 3 weeks.,0,0,1,1,0,1,0,0
6370,Jose asked what happens to the dogs the don't get a home.,0,0,1,0,0,1,0,0
6371,"Anna hate cleaning, but her closet was terribly messy.",0,0,0,0,0,0,0,1
6372,He looked up an app for his phone to use as a replacement.,1,1,0,0,0,0,0,0
6373,Jimmy decided to tell his principal.,0,1,1,0,0,1,0,0
6374,"Gina picked up the pace, trying to finish before the car came.",0,1,1,0,0,0,0,0
6375,He asked her on a date.,1,1,0,0,0,0,1,0
6376,"It took him some time, but eventually he found friends and had fun.",1,0,0,1,0,0,1,0
6377,Roy rolled the best dough out of everyone he knew.,1,1,0,1,0,0,1,0
6378,"After the visit, Dan decided he would send his daughter to the daycare.",1,1,0,0,0,0,1,0
6379,"They spent all that day riding all the rides, some multiple times.",1,1,0,0,0,0,0,0
6380,"One day, however, he discovered that she was stealing!",0,0,0,1,1,0,0,1
6381,An attorney approved my prenuptial.,1,0,0,0,0,0,1,0
6382,Marcia loved to dance.,1,1,0,0,0,0,1,0
6383,One day he bickered with a husky owner regarding litter in the park.,0,1,0,0,1,1,0,1
6384,Nell felt honored when the new girl asked her to come over.,1,1,0,0,0,0,1,0
6385,Our cat eats once in the morning and once during the day.,0,1,0,0,0,0,0,0
6386,"He figured it was so old, it'd be sold online for very little money.",1,1,0,0,0,0,1,0
6387,"We only go in the summertime, when you can enjoy the beach.",1,0,0,0,0,0,0,0
6388,He found some old meat in the fridge.,0,0,0,0,0,0,0,1
6389,The rooster had other ideas.,0,0,0,0,1,1,0,0
6390,"It wrapped it around the grass, taking it from her hand.",1,0,1,1,0,0,0,0
6391,She wore a Red Sox cap to the game.,1,1,0,0,0,0,0,0
6392,"When he ran out, the rest of the thieves followed him.",0,1,1,0,0,0,0,0
6393,They hit it off.,1,1,0,1,0,0,1,0
6394,Teddy went into a deep depression for several months afterward.,0,0,1,0,0,1,0,0
6395,Ian decided to go through with it anyway.,0,1,1,0,0,0,0,0
6396,When he returns with the items she is asleep again.,0,0,0,0,0,1,0,0
6397,I'm feeling very sad today.,0,0,1,0,0,1,0,0
6398,Cindy awoke in panic when she realized that she was late for work.,0,1,1,1,1,0,0,0
6399,"I lost so much weight, I didn't need the gastric bypass anymore.",1,0,0,1,0,0,0,0
6400,Jenny left her hotel early and spent all day at Disney world each day.,1,0,0,0,0,0,0,0
6401,John had left his wallet on the counter while ordering food.,1,0,0,0,0,0,0,0
6402,The girl was amused and accepted the challenge.,1,1,0,1,0,0,1,0
6403,This area of Michigan had a lot to offer related to this activity.,1,0,0,0,0,0,0,0
6404,She doesn't play any instruments.,0,0,0,0,0,0,0,0
6405,He needed to find a job quickly.,0,1,1,1,0,1,0,0
6406,Jenny started to prepare raw cookie dough.,1,1,0,0,0,0,0,0
6407,It was a lot of fun until the camp leaders came in.,0,0,1,0,0,1,0,0
6408,Ana found an old record player at the thrift store.,1,0,0,0,0,0,0,0
6409,Eventually Jane had to buy a new video game system.,1,0,0,0,0,0,0,0
6410,"One day, Desmond lost his dinosaur.",0,0,0,0,0,1,0,0
6411,Every day he would get in the water with them.,1,1,0,0,0,0,1,0
6412,We stayed at a hotel near the coffee shops.,1,1,0,0,0,0,1,0
6413,He is trying to make a score.,1,1,0,0,0,0,0,0
6414,DJ wanted to be actor and was rehearsing for an audition .,1,1,0,0,0,0,0,0
6415,He never felt so proud or accomplished in his entire life.,1,1,0,1,0,0,1,0
6416,He found a can of enchilada sauce in his pantry.,1,0,0,1,0,0,0,0
6417,"However, this time, the teacher punished her heavily.",0,0,0,0,0,1,0,0
6418,Gabriel was attracted to the woman on the drums.,1,1,1,1,0,0,1,0
6419,Jim saved the little boy.,1,0,0,1,0,0,1,0
6420,Andre was grounded for 3 months.,0,0,0,0,1,1,0,1
6421,Amanda liked watched nature shows with snakes on TV.,1,1,0,1,0,0,1,0
6422,Her favorite was ho-ho's.,1,0,0,0,0,0,0,0
6423,He still didn't believe her.,0,1,0,0,0,0,0,0
6424,It broke after he could return it to the store.,0,0,0,1,1,1,0,1
6425,My wife and I wanted a baby.,1,1,0,0,0,0,1,0
6426,She never thought much about it until one particular day.,0,0,0,0,0,1,0,1
6427,She used it immediately.,1,1,0,0,0,0,1,0
6428,Then he went into his tent to sleep.,1,1,0,0,0,0,0,0
6429,"She had a tough week at work, and Gnocchi is her favorite meal.",1,1,0,1,0,0,1,0
6430,Doug was sad when he learned his new nickname.,0,0,0,1,1,1,0,1
6431,Michael had randomly met a great girl on the bus.,1,1,0,1,0,0,0,0
6432,He was stuck in traffic.,0,0,0,0,1,0,0,1
6433,"In moments, Oliver was able to correctly guess the card.",1,0,0,1,0,0,0,0
6434,I forgot to put my keys on the key hook.,0,1,0,1,0,0,0,0
6435,Eventually he found a store that had them so he purchased them all.,1,1,0,0,0,0,0,0
6436,She was very anxious.,0,1,1,0,0,0,0,0
6437,He got the wrong cable hooked up.,0,0,0,1,0,0,0,0
6438,This is very troubling as he loves milk chocolate.,0,0,0,0,1,1,0,0
6439,One day Izzy took a trip to Illinois.,1,1,0,0,0,0,1,0
6440,She found a set of shiny chrome rims online.,1,0,0,0,0,0,0,0
6441,Larry was not working late.,0,1,1,0,0,0,0,0
6442,Seth was walking home from school one day.,1,0,0,0,0,0,0,0
6443,She listened to all of her many CDs trying to find the song.,0,1,0,1,0,0,0,0
6444,Lou had no money to buy a nice gift.,0,1,1,0,0,1,0,0
6445,She rescheduled the party for two weeks later.,0,0,0,0,0,1,0,0
6446,Boy was she wrong.,0,1,1,1,1,1,0,1
6447,This was her first foray in luthiery.,1,1,0,1,0,0,1,0
6448,Ed's friend Joe set him up on a blind date with a woman named Sue.,1,1,1,0,0,0,0,0
6449,Fred is immediately lovestruck.,1,1,1,0,0,0,0,0
6450,Amy called her friends to come to a surprise baby shower.,1,1,0,1,0,0,1,0
6451,I tried to help out today by doing the laundry.,1,1,0,0,0,0,1,0
6452,They rode on a gondola in the canal.,1,1,0,1,0,0,1,0
6453,Robert agrees and begrudgingly enrolls for classes.,0,1,0,1,0,0,0,0
6454,But the doors were all closed.,0,1,1,0,0,0,0,0
6455,He did not think we used it.,0,0,0,1,0,1,0,0
6456,The two started to talk.,1,1,0,1,0,0,0,0
6457,"One night, she woke up to the most delicious smell.",1,1,0,1,0,0,0,0
6458,"Dan found a particular daycare through Craigslist, and wanted to visit.",0,1,1,0,0,0,1,0
6459,He got his big break when his new single hit the airwaves.,1,1,0,0,0,0,0,0
6460,It was different than expected but motivating still.,1,1,1,1,0,0,1,0
6461,Mentoring forced him to become his own man-and his own role model.,1,1,0,0,0,0,1,0
6462,She ceased her crusade to obtain a dog.,0,0,0,0,0,1,0,0
6463,They each bought shirts for themselves and their dates.,1,1,0,0,0,0,1,0
6464,They went into the Super Bowl against the Giants as heavy favorites.,1,1,0,0,0,0,1,0
6465,She didn't have an umbrella.,0,0,0,0,1,0,0,0
